Project Name,Package Name,Type Name,Code Smell
monalisa-orm,com.tsc9526.monalisa.orm.executor,HandlerRelation,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,HandlerResultSet,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.executor,KeysExecutor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,KeysExecutor,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.executor,ResultSetsExecutor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,ResultSetsExecutor,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.executor,UpdateExecutor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,UpdateExecutor,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBExchange,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGenerator,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGenerator,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorLocal,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorProcessing,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorProcessing,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorProcessingInEclipse,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.generator,LoggerClassLoader,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBMetadata,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBMetadata,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBTableGenerator,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBWriterModel,Imperative Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBWriterModel,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBWriterSelect,Imperative Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.jdbc,JDBCWrapper,Unnecessary Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.jdbc,JDBCWrapper,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaColumn,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaColumn,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaIndex,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaPartition,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaTable,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaTable,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaTable,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.meta,MetaTable,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.meta,CreateTable,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.model,Model,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,Model,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,ModelHolder,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.model,ModelHolder,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,ModelListener,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,ModelMeta,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,ModelMeta,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,QMH,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,Record,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,Record,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,Example,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.model,Criteria,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.mqs.query,QueryPackage,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.mqs.query,QueryPackage,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.mqs.query,QueryStatement,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.mqs,SQLClass,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.mqs,SQLClass,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.partition,DatePartitionTable,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.partition,Partition,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.processor,DBAnnotationProcessor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm,Query,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm,Query,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm,Tx,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm,Tx,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm,Version,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.resources,HelpDoc,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.utils,TableHelper,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.utils,TableHelper,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.utils,MTable,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentArgs,Deficient Encapsulation
